symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
DAX,DE,03/30/17,120,13504.585,10,C,0.132403,0.11171
DAX,DE,03/30/17,120,11049.206,10,P,0.201768,-0.166383
DAX,DE,03/30/17,120,14118.43,15,C,0.123768,0.026561
DAX,DE,03/30/17,120,10435.361,15,P,0.22176,-0.089845
DAX,DE,03/30/17,120,14732.275,20,C,0.121586,0.004935
DAX,DE,03/30/17,120,9821.517,20,P,0.242752,-0.047187
DAX,DE,03/30/17,120,15346.119,25,C,0.129044,0.001447
DAX,DE,03/30/17,120,9207.672,25,P,0.26385,-0.024009
DAX,DE,03/30/17,120,15959.964,30,C,0.139133,0.000579
DAX,DE,03/30/17,120,8593.827,30,P,0.286128,-0.012033
DAX,DE,03/30/17,120,16573.809,35,C,0.139874,0.000107
DAX,DE,03/30/17,120,7979.982,35,P,0.308888,-0.005854
DAX,DE,03/30/17,120,17187.654,40,C,0.139874,0.000016
DAX,DE,03/30/17,120,7366.138,40,P,0.333473,-0.002827
DAX,DE,03/30/17,120,17801.5,45,C,0.139874,0.000002
DAX,DE,03/30/17,120,6752.292,45,P,0.35428,-0.001165
DAX,DE,03/30/17,120,18415.344,50,C,0.139874,0
DAX,DE,03/30/17,120,6138.448,50,P,0.389729,-0.000655
DAX,DE,03/30/17,120,19029.188,55,C,0.139874,0
DAX,DE,03/30/17,120,5524.603,55,P,0.428617,-0.000373
DAX,DE,03/30/17,120,19643.033,60,C,0.139874,0
DAX,DE,03/30/17,120,4910.758,60,P,0.471863,-0.000214
DAX,DE,03/30/17,150,12274.258,0,C,0.165102,0.521102
DAX,DE,03/30/17,150,12274.258,0,P,0.164902,-0.478923
DAX,DE,03/30/17,150,12887.97,5,C,0.149126,0.321838
DAX,DE,03/30/17,150,11660.545,5,P,0.182173,-0.30938
DAX,DE,03/30/17,150,13501.684,10,C,0.135708,0.146386
DAX,DE,03/30/17,150,11046.832,10,P,0.200283,-0.188131
DAX,DE,03/30/17,150,14115.396,15,C,0.125846,0.045316
DAX,DE,03/30/17,150,10433.119,15,P,0.219278,-0.110019
DAX,DE,03/30/17,150,14729.11,20,C,0.121319,0.010572
DAX,DE,03/30/17,150,9819.406,20,P,0.239105,-0.062709
DAX,DE,03/30/17,150,15342.822,25,C,0.122783,0.00259
DAX,DE,03/30/17,150,9205.693,25,P,0.259795,-0.035099
